"","logFC","logCPM","F","PValue","FDR"
"MSRA",1.80481006405346,2.20234092261559,22.3348970372114,0.000290051351874708,0.000596839972627412
"UBA6-DT",0.920052557670723,4.10485859433038,24.2757392723692,0.000290516789697577,0.000597702952967911
"TRIM31",-2.93640860723114,2.24932772963445,19.5021907950059,0.000290982486149992,0.000598566191795071
"ZNF607",-1.13025081899753,4.04898831228952,24.3405881200674,0.000291675339147166,0.000599896355907179
"GEMIN7",1.30133350055641,3.91984660193407,24.2899506325235,0.00029183097595376,0.00060012136690111
"SEC16B",-2.69844889957404,2.10463253768052,19.5494946207232,0.000292178340055869,0.000600740512264403
"ITGA3",-1.43467430992083,4.49558552571048,24.2704094363492,0.000292931428403255,0.000602193528773242
"MTOR",0.956255936810514,6.2399184102501,24.1769484149182,0.000293164585443678,0.000602526638900653
"THADA",0.699054824700004,5.28993210401029,24.1820119452641,0.000293186305955048,0.000602526638900653
"NDUFAF2",1.23339536645976,3.67394945778361,24.2965424640735,0.000293758080462056,0.000603606123855864
